total_baggage,total_cargo,total_mnc,total_mail,departure_airport,combined,timestamp
,,,,DUB,2024-05_MN_1524.0_1.0,2024-04-30 06:50:22
1495.00,0.00,0.00,0.00,DUB,2024-05_MN_1524.0_1.0,2024-04-30 06:50:22
,,,,DUB,2024-05_MN_1584.0_1.0,2024-04-30 06:53:14
741.00,0.00,0.00,0.00,DUB,2024-05_MN_1162.0_1.0,2024-04-30 06:52:38
,,,,DUB,2024-05_MN_1208.0_1.0,2024-04-30 06:54:58
533.00,0.00,0.00,0.00,DUB,2024-05_MN_1208.0_1.0,2024-04-30 06:54:58
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1584.0_1.0,2024-04-30 06:53:14
,,,,DUB,2024-05_MN_1526.0_1.0,2024-04-30 06:55:27
1365.00,0.00,0.00,0.00,DUB,2024-05_MN_1526.0_1.0,2024-04-30 06:55:27
,,,,DUB,2024-05_MN_1164.0_1.0,2024-04-30 06:54:03
1079.00,0.00,0.00,0.00,DUB,2024-05_MN_1164.0_1.0,2024-04-30 06:54:03
,,,,DUB,2024-05_MN_1684.0_1.0,2024-04-30 06:56:46
1417.00,0.00,0.00,0.00,DUB,2024-05_MN_1684.0_1.0,2024-04-30 06:56:46
,,,,DUB,2024-05_MN_1538.0_1.0,2024-04-30 06:57:19
910.00,0.00,0.00,0.00,DUB,2024-05_MN_1538.0_1.0,2024-04-30 06:57:19
,,,,DUB,2024-05_MN_1742.0_1.0,2024-04-30 06:57:43
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1742.0_1.0,2024-04-30 06:57:43
,,,,DUB,2024-05_MN_1166.0_1.0,2024-04-30 06:58:06
559.00,0.00,0.00,0.00,DUB,2024-05_MN_1166.0_1.0,2024-04-30 06:58:06
,,,,DUB,2024-05_MN_1608.0_1.0,2024-04-30 06:58:36
936.00,0.00,0.00,0.00,DUB,2024-05_MN_1608.0_1.0,2024-04-30 06:58:36
,,,,DUB,2024-05_MN_1462.0_1.0,2024-04-30 06:59:07
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1462.0_1.0,2024-04-30 06:59:07
,,,,DUB,2024-05_MN_1446.0_1.0,2024-04-30 07:00:06
1820.00,0.00,264.00,0.00,DUB,2024-05_MN_1446.0_1.0,2024-04-30 07:00:06
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1778.0_1.0,2024-04-30 07:00:32
,,,,DUB,2024-05_MN_1736.0_1.0,2024-04-30 07:02:49
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1736.0_1.0,2024-04-30 07:02:49
,,,,DUB,2024-05_MN_1174.0_1.0,2024-04-30 07:02:26
923.00,0.00,0.00,0.00,DUB,2024-05_MN_1510.0_1.0,2024-04-30 07:01:25
1027.00,0.00,0.00,0.00,DUB,2024-05_MN_1174.0_1.0,2024-04-30 07:02:26
,,,,DUB,2024-05_MN_1586.0_1.0,2024-04-30 07:03:15
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1586.0_1.0,2024-04-30 07:03:15
,,,,DUB,2024-05_MN_1656.0_1.0,2024-04-30 07:33:38
,,,,DUB,2024-05_MN_1202.0_1.0,2024-04-30 07:32:36
,,,,DUB,2024-05_MN_1524.0_1.0,2024-04-30 07:31:38
1495.00,0.00,0.00,0.00,DUB,2024-05_MN_1524.0_1.0,2024-04-30 07:31:38
338.00,0.00,0.00,0.00,DUB,2024-05_MN_1202.0_1.0,2024-04-30 07:32:36
,,,,DUB,2024-05_MN_1660.0_1.0,2024-04-30 07:33:36
1456.00,0.00,0.00,0.00,DUB,2024-05_MN_1660.0_1.0,2024-04-30 07:33:36
,,,,DUB,2024-05_MN_1336.0_1.0,2024-04-30 07:34:36
2015.00,0.00,0.00,0.00,DUB,2024-05_MN_1656.0_1.0,2024-04-30 07:33:38
1534.00,0.00,0.00,0.00,DUB,2024-05_MN_1336.0_1.0,2024-04-30 07:34:36
,,,,DUB,2024-05_MN_1276.0_1.0,2024-04-30 08:00:37
1014.00,0.00,0.00,0.00,DUB,2024-05_MN_1276.0_1.0,2024-04-30 08:00:37
,,,,DUB,2024-05_MN_1764.0_1.0,2024-04-30 07:50:49
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1764.0_1.0,2024-04-30 07:50:49
,,,,DUB,2024-05_MN_1406.0_1.0,2024-04-30 07:51:28
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1406.0_1.0,2024-04-30 07:51:28
,,,,DUB,2024-05_MN_1698.0_1.0,2024-04-30 07:55:00
936.00,0.00,0.00,0.00,DUB,2024-05_MN_1698.0_1.0,2024-04-30 07:55:00
,,,,DUB,2024-05_MN_1496.0_1.0,2024-04-30 07:53:49
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1496.0_1.0,2024-04-30 07:53:49
,,,,DUB,2024-05_MN_1356.0_1.0,2024-04-30 07:53:31
1391.00,0.00,0.00,0.00,DUB,2024-05_MN_1356.0_1.0,2024-04-30 07:53:31
,,,,DUB,2024-05_MN_1656.0_1.0,2024-04-30 07:54:30
1378.00,0.00,0.00,0.00,DUB,2024-05_MN_1656.0_1.0,2024-04-30 07:54:30
,,,,DUB,2024-05_MN_1182.0_1.0,2024-04-30 07:59:31
611.00,0.00,0.00,0.00,DUB,2024-05_MN_1182.0_1.0,2024-04-30 07:59:31
,,,,DUB,2024-05_MN_1176.0_1.0,2024-04-30 07:55:21
1079.00,0.00,0.00,0.00,DUB,2024-05_MN_1176.0_1.0,2024-04-30 07:55:21
,,,,DUB,2024-05_MN_1336.0_1.0,2024-04-30 07:55:57
923.00,0.00,0.00,0.00,DUB,2024-05_MN_1336.0_1.0,2024-04-30 07:55:57
,,,,DUB,2024-05_MN_1638.0_1.0,2024-04-30 07:56:40
1378.00,0.00,0.00,0.00,DUB,2024-05_MN_1638.0_1.0,2024-04-30 07:56:40
,,,,DUB,2024-05_MN_1436.0_1.0,2024-04-30 07:57:12
1404.00,0.00,0.00,0.00,DUB,2024-05_MN_1436.0_1.0,2024-04-30 07:57:12
,,,,DUB,2024-05_MN_1564.0_1.0,2024-04-30 07:59:01
,,,,DUB,2024-05_MN_1486.0_1.0,2024-04-30 07:58:39
,,,,DUB,2024-05_MN_1610.0_1.0,2024-04-30 07:57:54
923.00,0.00,0.00,0.00,DUB,2024-05_MN_1610.0_1.0,2024-04-30 07:57:54
,,,,DUB,2024-05_MN_1528.0_1.0,2024-04-30 07:58:21
1391.00,0.00,0.00,0.00,DUB,2024-05_MN_1528.0_1.0,2024-04-30 07:58:21
1859.00,0.00,0.00,0.00,DUB,2024-05_MN_1486.0_1.0,2024-04-30 07:58:39
,,,,DUB,2024-05_MN_1422.0_1.0,2024-04-30 07:59:37
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1422.0_1.0,2024-04-30 07:59:37
1521.00,0.00,0.00,0.00,DUB,2024-05_MN_1564.0_1.0,2024-04-30 07:59:01
,,,,DUB,2024-05_MN_1422.0_1.0,2024-04-30 08:00:37
,,,,DUB,2024-05_MN_1574.0_1.0,2024-04-30 08:00:07
