total_cargo,total_eic,total_mail,departure_airport,combined,timestamp
0.0,0.0,0.0,REC,2024-05_ZY_5255.0_29.0,2024-05-01 00:30:21
0.0,0.0,0.0,NAT,2024-05_ZY_5038.0_30.0,2024-05-01 00:30:22
0.0,0.0,0.0,REC,2024-05_ZY_3822.0_29.0,2024-05-01 00:30:22
0.0,0.0,0.0,FEN,2024-05_ZY_5091.0_29.0,2024-05-01 00:30:22
0.0,0.0,0.0,FEN,2024-05_ZY_5719.0_29.0,2024-05-01 00:30:23
0.0,0.0,0.0,REC,2024-05_ZY_3682.0_30.0,2024-05-01 00:30:23
0.0,0.0,0.0,MCZ,2024-05_ZY_5887.0_29.0,2024-05-01 00:30:23
0.0,0.0,0.0,FEN,2024-05_ZY_3418.0_30.0,2024-05-01 00:30:24
0.0,0.0,0.0,PPB,2024-05_ZY_5520.0_30.0,2024-05-01 00:30:24
0.0,0.0,0.0,VCP,2024-05_ZY_5063.0_30.0,2024-05-01 00:30:24
0.0,0.0,0.0,IZA,2024-05_ZY_3631.0_30.0,2024-05-01 00:30:25
0.0,0.0,0.0,MGF,2024-05_ZY_5279.0_30.0,2024-05-01 00:30:25
0.0,0.0,0.0,VCP,2024-05_ZY_9706.0_29.0,2024-05-01 00:30:26
0.0,0.0,0.0,REC,2024-05_ZY_3514.0_30.0,2024-05-01 00:30:26
0.0,0.0,0.0,VCP,2024-05_ZY_5063.0_29.0,2024-05-01 00:30:26
0.0,0.0,0.0,SJP,2024-05_ZY_5876.0_29.0,2024-05-01 00:30:26
0.0,0.0,0.0,ARU,2024-05_ZY_5154.0_29.0,2024-05-01 00:30:26
0.0,0.0,0.0,LIS,2024-05_ZY_9753.0_29.0,2024-05-01 00:30:27
0.0,0.0,0.0,VCP,2024-05_ZY_3907.0_30.0,2024-05-01 00:30:27
0.0,0.0,0.0,PPB,2024-05_ZY_5520.0_29.0,2024-05-01 00:30:27
0.0,0.0,0.0,VCP,2024-05_ZY_9752.0_30.0,2024-05-01 00:30:27
0.0,0.0,0.0,VCP,2024-05_ZY_5907.0_29.0,2024-05-01 00:30:28
0.0,0.0,0.0,VCP,2024-05_ZY_3667.0_30.0,2024-05-01 00:30:28
0.0,0.0,0.0,SSA,2024-05_ZY_5253.0_29.0,2024-05-01 00:30:28
0.0,0.0,0.0,FEN,2024-05_ZY_5404.0_30.0,2024-05-01 00:30:29
0.0,0.0,0.0,REC,2024-05_ZY_5403.0_30.0,2024-05-01 00:30:29
0.0,0.0,0.0,MCZ,2024-05_ZY_5307.0_30.0,2024-05-01 00:30:29
0.0,0.0,0.0,REC,2024-05_ZY_3645.0_30.0,2024-05-01 00:30:29
0.0,0.0,0.0,SJP,2024-05_ZY_3717.0_30.0,2024-05-01 00:30:29
0.0,0.0,0.0,CPV,2024-05_ZY_5325.0_29.0,2024-05-01 00:30:29
0.0,0.0,0.0,CPV,2024-05_ZY_5317.0_30.0,2024-05-01 00:30:30
0.0,0.0,0.0,VCP,2024-05_ZY_5099.0_30.0,2024-05-01 00:30:30
0.0,0.0,0.0,SJP,2024-05_ZY_5140.0_30.0,2024-05-01 00:30:30
0.0,0.0,0.0,CPV,2024-05_ZY_5252.0_29.0,2024-05-01 00:30:31
0.0,0.0,0.0,CAC,2024-05_ZY_3969.0_29.0,2024-05-01 00:30:31
0.0,0.0,0.0,CWB,2024-05_ZY_6094.0_29.0,2024-05-01 00:30:31
0.0,0.0,0.0,FLN,2024-05_ZY_3689.0_30.0,2024-05-01 00:30:32
0.0,0.0,0.0,MCO,2024-05_ZY_9707.0_30.0,2024-05-01 00:30:32
0.0,0.0,0.0,LIS,2024-05_ZY_9753.0_30.0,2024-05-01 00:30:33
0.0,0.0,0.0,VCP,2024-05_ZY_9750.0_30.0,2024-05-01 00:30:33
0.0,0.0,0.0,VCP,2024-05_ZY_5392.0_30.0,2024-05-01 00:30:34
0.0,0.0,0.0,CPV,2024-05_ZY_5317.0_29.0,2024-05-01 00:30:34
0.0,0.0,0.0,FEC,2024-05_ZY_5263.0_29.0,2024-05-01 00:30:34
0.0,0.0,0.0,REC,2024-05_ZY_5068.0_30.0,2024-05-01 00:30:35
0.0,0.0,0.0,REC,2024-05_ZY_5606.0_30.0,2024-05-01 00:30:35
0.0,0.0,0.0,NAT,2024-05_ZY_5714.0_30.0,2024-05-01 00:30:35
0.0,0.0,0.0,JPA,2024-05_ZY_5069.0_30.0,2024-05-01 00:30:35
0.0,0.0,0.0,REC,2024-05_ZY_3822.0_30.0,2024-05-01 00:30:35
0.0,0.0,0.0,NAT,2024-05_ZY_3651.0_30.0,2024-05-01 00:30:36
0.0,0.0,0.0,REC,2024-05_ZY_5606.0_29.0,2024-05-01 00:30:36
0.0,0.0,0.0,VCP,2024-05_ZY_9706.0_30.0,2024-05-01 00:30:36
0.0,0.0,0.0,CNF,2024-05_ZY_5142.0_29.0,2024-05-01 00:30:36
0.0,0.0,0.0,MOC,2024-05_ZY_3731.0_29.0,2024-05-01 00:30:36
0.0,0.0,0.0,FOR,2024-05_ZY_5318.0_29.0,2024-05-01 00:30:36
0.0,0.0,0.0,CNF,2024-05_ZY_5376.0_30.0,2024-05-01 00:30:36
0.0,0.0,0.0,CNF,2024-05_ZY_5244.0_30.0,2024-05-01 00:30:37
0.0,0.0,0.0,UDI,2024-05_ZY_5377.0_30.0,2024-05-01 00:30:37
0.0,0.0,0.0,IPN,2024-05_ZY_5138.0_29.0,2024-05-01 00:30:37
