total_cargo,total_eic,total_mail,departure_airport,combined,timestamp
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:54:49
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:39:52
0.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:39:52
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:40:00
0.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:40:00
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:41:20
0.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:41:20
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:42:10
8000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:42:10
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:42:28
12000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:42:28
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:42:49
16000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:42:49
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:44:00
20000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:44:00
20000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:43:14
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:43:35
20000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:43:35
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:49:59
20000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:49:59
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:46:46
20000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:46:46
20000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:45:34
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:46:01
20000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:46:01
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:48:54
20000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:48:54
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:49:19
20000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:49:19
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:50:23
20000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:50:23
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:51:46
16000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:51:46
20000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:50:51
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:52:12
16000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:52:12
16000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:52:36
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:53:07
16000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:53:07
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:53:37
16000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:53:37
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:54:20
16000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:54:20
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:55:31
16000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:55:31
16000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:54:49
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:55:13
16000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:55:13
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:56:01
16000.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:56:01
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:57:29
17500.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 13:57:29
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 15:57:33
13482.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 15:57:33
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 15:49:48
14982.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 15:49:48
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 15:53:03
13482.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 15:53:03
,,,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 15:57:41
13482.00,0.00,0.00,ORY,2024-05_ZY_9700.0_30.0,2024-04-30 15:57:41
,,,VCP,2024-05_ZY_2004.0_30.0,2024-04-30 18:38:34
5.00,0.00,0.00,VCP,2024-05_ZY_2004.0_30.0,2024-04-30 18:38:34
,,,VCP,2024-05_ZY_2014.0_30.0,2024-04-30 18:38:32
,,,VCP,2024-05_ZY_2007.0_30.0,2024-04-30 18:38:34
10.00,0.00,0.00,VCP,2024-05_ZY_2007.0_30.0,2024-04-30 18:38:34
,,,VCP,2024-05_ZY_2017.0_30.0,2024-04-30 18:38:34
2.00,0.00,0.00,VCP,2024-05_ZY_2017.0_30.0,2024-04-30 18:38:34
,,,VCP,2024-05_ZY_2003.0_30.0,2024-04-30 18:38:40
10.00,0.00,0.00,VCP,2024-05_ZY_2003.0_30.0,2024-04-30 18:38:41
,,,VCP,2024-05_ZY_2013.0_30.0,2024-04-30 18:38:32
5.00,0.00,0.00,VCP,2024-05_ZY_2013.0_30.0,2024-04-30 18:38:32
,,,VCP,2024-05_ZY_2010.0_30.0,2024-04-30 18:38:32
3.00,0.00,0.00,VCP,2024-05_ZY_2010.0_30.0,2024-04-30 18:38:32
