cki_destination,cki_bag_pieces,cki_bag_weight,loadtable_destination,loadtable_bag_pieces,loadtable_bag_weight,combined,timestamp
JFK,226.0,3390.00 KG,JFK,219.0,3285.00 KG,2024-05_MN_1107.0_30.0,2024-04-30 15:33:57
BER,93.0,1209.00 KG,BER,86.0,1118.00 KG,2024-05_MN_1336.0_30.0,2024-04-30 16:14:49
BRU,115.0,1495.00 KG,BRU,114.0,1482.00 KG,2024-05_MN_1638.0_30.0,2024-04-30 16:46:48
LIS,125.0,1625.00 KG,LIS,122.0,1586.00 KG,2024-05_MN_1486.0_30.0,2024-04-30 17:22:47
LIS,125.0,1625.00 KG,LIS,124.0,1612.00 KG,2024-05_MN_1486.0_30.0,2024-04-30 17:26:38
BCN,115.0,1495.00 KG,BCN,109.0,1417.00 KG,2024-05_MN_1564.0_30.0,2024-04-30 17:44:12
ALC,143.0,1859.00 KG,ALC,145.0,1885.00 KG,2024-05_MN_1574.0_30.0,2024-04-30 18:05:45
DUB,140.0,2100.00 KG,DUB,138.0,2070.00 KG,2024-05_MN_1104.0_30.0,2024-04-30 20:14:56
DUB,155.0,2325.00 KG,DUB,162.0,2430.00 KG,2024-05_MN_1122.0_30.0,2024-04-30 20:25:07
DUB,159.0,2385.00 KG,DUB,160.0,2400.00 KG,2024-05_MN_1132.0_30.0,2024-04-30 21:01:47
DUB,121.0,1815.00 KG,DUB,131.0,1965.00 KG,2024-05_MN_1100.0_30.0,2024-04-30 21:06:55
DUB,203.0,3045.00 KG,DUB,205.0,3075.00 KG,2024-05_MN_1126.0_30.0,2024-04-30 21:09:15
MAN,207.0,3105.00 KG,MAN,210.0,3150.00 KG,2024-05_MN_1034.0_30.0,2024-04-30 21:20:06
DUB,203.0,3045.00 KG,DUB,205.0,3075.00 KG,2024-05_MN_1126.0_30.0,2024-04-30 21:17:47
DUB,203.0,3045.00 KG,DUB,205.0,3075.00 KG,2024-05_MN_1126.0_30.0,2024-04-30 21:21:19
MAN,11044.0,2160.00 KG,MAN,141.0,2115.00 KG,2024-05_MN_1044.0_30.0,2024-04-30 22:13:05
MAN,11044.0,2160.00 KG,MAN,142.0,2130.00 KG,2024-05_MN_1044.0_30.0,2024-04-30 22:20:38
MAN,11044.0,2160.00 KG,MAN,142.0,2130.00 KG,2024-05_MN_1044.0_30.0,2024-04-30 22:26:58
MAN,11044.0,2160.00 KG,MAN,143.0,2145.00 KG,2024-05_MN_1044.0_30.0,2024-04-30 22:27:50
DUB,277.0,4155.00 KG,DUB,284.0,4260.00 KG,2024-05_MN_1120.0_1.0,2024-04-30 23:48:39
DUB,187.0,2805.00 KG,DUB,184.0,2760.00 KG,2024-05_MN_1106.0_1.0,2024-05-01 00:03:11
DUB,136.0,2040.00 KG,DUB,135.0,2025.00 KG,2024-05_MN_1118.0_1.0,2024-05-01 00:21:27
DUB,119.0,1785.00 KG,DUB,121.0,1815.00 KG,2024-05_MN_1136.0_1.0,2024-05-01 00:35:19
DUB,176.0,2640.00 KG,DUB,175.0,2625.00 KG,2024-05_MN_1060.0_1.0,2024-05-01 00:40:16
DUB,119.0,1785.00 KG,DUB,122.0,1830.00 KG,2024-05_MN_1136.0_1.0,2024-05-01 00:41:19
DUB,119.0,1785.00 KG,DUB,123.0,1845.00 KG,2024-05_MN_1136.0_1.0,2024-05-01 00:42:12
DUB,172.0,2580.00 KG,DUB,173.0,2595.00 KG,2024-05_MN_1124.0_1.0,2024-05-01 01:30:09
DUB,197.0,2955.00 KG,DUB,202.0,3030.00 KG,2024-05_MN_1068.0_1.0,2024-05-01 03:04:10
MAD,81.0,1053.00 KG,MAD,79.0,1027.00 KG,2024-05_MN_1592.0_1.0,2024-05-01 04:54:14
LYS,117.0,1521.00 KG,LYS,114.0,1482.00 KG,2024-05_MN_1550.0_1.0,2024-05-01 04:56:54
LYS,117.0,1521.00 KG,LYS,115.0,1495.00 KG,2024-05_MN_1550.0_1.0,2024-05-01 04:59:20
NAP,119.0,1547.00 KG,NAP,126.0,1638.00 KG,2024-05_MN_1450.0_1.0,2024-05-01 05:00:06
LHR,83.0,1079.00 KG,LHR,89.0,1157.00 KG,2024-05_MN_1152.0_1.0,2024-05-01 05:21:03
DUS,82.0,1066.00 KG,DUS,79.0,1027.00 KG,2024-05_MN_1692.0_1.0,2024-05-01 05:35:05
BOD,96.0,1248.00 KG,BOD,98.0,1274.00 KG,2024-05_MN_1506.0_1.0,2024-05-01 05:36:20
VIE,123.0,1599.00 KG,VIE,122.0,1586.00 KG,2024-05_MN_1660.0_1.0,2024-05-01 05:57:53
PRG,95.0,1235.00 KG,PRG,94.0,1222.00 KG,2024-05_MN_1642.0_1.0,2024-05-01 06:19:20
ACE,169.0,2197.00 KG,ACE,162.0,2106.00 KG,2024-05_MN_1776.0_1.0,2024-05-01 06:25:34
ACE,169.0,2197.00 KG,ACE,170.0,2210.00 KG,2024-05_MN_1776.0_1.0,2024-05-01 06:33:36
VCE,150.0,1950.00 KG,VCE,153.0,1989.00 KG,2024-05_MN_1422.0_1.0,2024-05-01 06:32:23
ACE,169.0,2197.00 KG,ACE,171.0,2223.00 KG,2024-05_MN_1776.0_1.0,2024-05-01 06:35:35
AGP,158.0,2054.00 KG,AGP,156.0,2028.00 KG,2024-05_MN_1582.0_1.0,2024-05-01 07:33:43
AGP,286.0,3718.00 KG,AGP,283.0,3679.00 KG,2024-05_MN_1580.0_1.0,2024-05-01 07:41:56
AGP,286.0,3718.00 KG,AGP,285.0,3705.00 KG,2024-05_MN_1580.0_1.0,2024-05-01 07:44:26
LHR,87.0,1131.00 KG,LHR,88.0,1144.00 KG,2024-05_MN_1158.0_1.0,2024-05-01 08:33:13
LHR,87.0,1131.00 KG,LHR,88.0,1144.00 KG,2024-05_MN_1158.0_1.0,2024-05-01 08:42:32
CDG,141.0,1833.00 KG,CDG,140.0,1820.00 KG,2024-05_MN_1524.0_1.0,2024-05-01 08:57:10
HAM,95.0,1235.00 KG,HAM,93.0,1209.00 KG,2024-05_MN_1392.0_1.0,2024-05-01 09:10:02
NCE,112.0,1456.00 KG,NCE,118.0,1534.00 KG,2024-05_MN_1544.0_1.0,2024-05-01 09:54:16
JFK,276.0,4140.00 KG,JFK,277.0,4155.00 KG,2024-05_MN_1105.0_1.0,2024-05-01 10:04:02
ORD,211.0,3165.00 KG,ORD,217.0,3255.00 KG,2024-05_MN_1123.0_1.0,2024-05-01 10:17:41
ORD,211.0,3165.00 KG,ORD,215.0,3225.00 KG,2024-05_MN_1123.0_1.0,2024-05-01 10:21:38
BOS,213.0,3195.00 KG,BOS,211.0,3165.00 KG,2024-05_MN_1133.0_1.0,2024-05-01 10:29:27
FAO,180.0,2340.00 KG,FAO,178.0,2314.00 KG,2024-05_MN_1494.0_1.0,2024-05-01 10:41:26
AGP,163.0,2119.00 KG,AGP,162.0,2106.00 KG,2024-05_MN_1584.0_1.0,2024-05-01 10:44:03
IAD,111.0,1665.00 KG,IAD,116.0,1740.00 KG,2024-05_MN_1117.0_1.0,2024-05-01 11:25:27
EWR,112.0,1680.00 KG,EWR,115.0,1725.00 KG,2024-05_MN_1101.0_1.0,2024-05-01 11:35:22
CDG,113.0,1469.00 KG,CDG,111.0,1443.00 KG,2024-05_MN_1526.0_1.0,2024-05-01 11:37:13
GVA,99.0,1287.00 KG,GVA,97.0,1261.00 KG,2024-05_MN_1684.0_1.0,2024-05-01 11:54:36
BIO,130.0,1690.00 KG,BIO,128.0,1664.00 KG,2024-05_MN_1748.0_1.0,2024-05-01 11:44:04
YYZ,220.0,3300.00 KG,YYZ,216.0,3240.00 KG,2024-05_MN_1127.0_1.0,2024-05-01 12:00:43
AMS,107.0,1391.00 KG,AMS,100.0,1300.00 KG,2024-05_MN_1608.0_1.0,2024-05-01 12:30:19
BDL,100.0,1500.00 KG,BDL,102.0,1530.00 KG,2024-05_MN_1131.0_1.0,2024-05-01 12:53:35
CTA,159.0,2067.00 KG,CTA,160.0,2080.00 KG,2024-05_MN_1462.0_1.0,2024-05-01 12:56:56
JTR,147.0,1911.00 KG,JTR,136.0,1768.00 KG,2024-05_MN_1446.0_1.0,2024-05-01 12:58:03
MSP,93.0,1395.00 KG,MSP,81.0,1215.00 KG,2024-05_MN_1089.0_1.0,2024-05-01 13:10:33
MSP,93.0,1395.00 KG,MSP,78.0,1170.00 KG,2024-05_MN_1089.0_1.0,2024-05-01 13:15:08
ACE,161.0,2093.00 KG,ACE,158.0,2054.00 KG,2024-05_MN_1778.0_1.0,2024-05-01 13:49:19
PGF,99.0,1287.00 KG,PGF,93.0,1209.00 KG,2024-05_MN_1510.0_1.0,2024-05-01 14:00:58
LAX,166.0,2490.00 KG,LAX,176.0,2640.00 KG,2024-05_MN_1069.0_1.0,2024-05-01 14:20:39
CLE,123.0,1845.00 KG,CLE,121.0,1815.00 KG,2024-05_MN_1087.0_1.0,2024-05-01 14:24:32
CLE,123.0,1845.00 KG,CLE,127.0,1905.00 KG,2024-05_MN_1087.0_1.0,2024-05-01 14:28:23
CLE,123.0,1845.00 KG,CLE,135.0,2025.00 KG,2024-05_MN_1087.0_1.0,2024-05-01 14:32:16
FCO,123.0,1599.00 KG,FCO,119.0,1547.00 KG,2024-05_MN_1406.0_1.0,2024-05-01 14:40:14
FCO,123.0,1599.00 KG,FCO,121.0,1573.00 KG,2024-05_MN_1406.0_1.0,2024-05-01 14:41:28
PMI,169.0,2197.00 KG,PMI,167.0,2171.00 KG,2024-05_MN_1736.0_1.0,2024-05-01 15:00:46
IAD,116.0,1740.00 KG,IAD,103.0,1545.00 KG,2024-05_MN_1119.0_1.0,2024-05-01 15:08:33
AGP,156.0,2028.00 KG,AGP,154.0,2002.00 KG,2024-05_MN_1586.0_1.0,2024-05-01 15:11:08
MUC,107.0,1391.00 KG,MUC,109.0,1417.00 KG,2024-05_MN_1356.0_1.0,2024-05-01 15:21:44
ORD,224.0,3360.00 KG,ORD,198.0,2970.00 KG,2024-05_MN_1125.0_1.0,2024-05-01 15:28:17
ORD,224.0,3360.00 KG,ORD,198.0,2970.00 KG,2024-05_MN_1125.0_1.0,2024-05-01 15:31:20
PHL,101.0,1515.00 KG,PHL,89.0,1335.00 KG,2024-05_MN_1115.0_1.0,2024-05-01 15:31:40
FRA,108.0,1404.00 KG,FRA,98.0,1274.00 KG,2024-05_MN_1656.0_1.0,2024-05-01 15:32:55
IAD,112.0,1680.00 KG,IAD,109.0,1635.00 KG,2024-05_MN_1119.0_1.0,2024-05-01 15:32:40
FAO,164.0,2132.00 KG,FAO,149.0,1937.00 KG,2024-05_MN_1496.0_1.0,2024-05-01 15:35:03
JFK,235.0,3525.00 KG,JFK,229.0,3435.00 KG,2024-05_MN_1107.0_1.0,2024-05-01 15:40:06
BOS,136.0,2040.00 KG,BOS,135.0,2025.00 KG,2024-05_MN_1137.0_1.0,2024-05-01 15:51:24
DUS,87.0,1131.00 KG,DUS,86.0,1118.00 KG,2024-05_MN_1698.0_1.0,2024-05-01 16:05:19
BER,79.0,1027.00 KG,BER,78.0,1014.00 KG,2024-05_MN_1336.0_1.0,2024-05-01 16:24:56
BRU,126.0,11638.00 KG,BRU,120.0,1560.00 KG,2024-05_MN_1638.0_1.0,2024-05-01 16:44:55
MXP,107.0,1391.00 KG,MXP,106.0,1378.00 KG,2024-05_MN_1436.0_1.0,2024-05-01 16:51:35
LIS,113.0,1469.00 KG,LIS,112.0,1456.00 KG,2024-05_MN_1486.0_1.0,2024-05-01 17:08:33
LIS,113.0,1469.00 KG,LIS,112.0,1456.00 KG,2024-05_MN_1486.0_1.0,2024-05-01 17:27:41
CDG,105.0,1365.00 KG,CDG,101.0,1313.00 KG,2024-05_MN_1528.0_1.0,2024-05-01 17:34:47
ALC,149.0,1937.00 KG,ALC,150.0,1950.00 KG,2024-05_MN_1574.0_1.0,2024-05-01 17:43:06
DUB,137.0,2055.00 KG,DUB,136.0,2040.00 KG,2024-05_MN_1104.0_1.0,2024-05-01 20:36:14
DUB,148.0,2220.00 KG,DUB,149.0,2235.00 KG,2024-05_MN_1116.0_1.0,2024-05-01 20:50:15
DUB,116.0,1740.00 KG,DUB,122.0,1830.00 KG,2024-05_MN_1100.0_1.0,2024-05-01 20:51:54
DUB,116.0,1740.00 KG,DUB,127.0,1905.00 KG,2024-05_MN_1100.0_1.0,2024-05-01 20:54:15
DUB,216.0,3240.00 KG,DUB,211.0,3165.00 KG,2024-05_MN_1122.0_1.0,2024-05-01 21:09:18
DUB,205.0,3075.00 KG,DUB,206.0,3090.00 KG,2024-05_MN_1132.0_1.0,2024-05-01 21:07:46
DUB,112.0,1680.00 KG,DUB,122.0,1830.00 KG,2024-05_MN_1130.0_1.0,2024-05-01 21:18:20
DUB,195.0,2925.00 KG,DUB,197.0,2955.00 KG,2024-05_MN_1126.0_1.0,2024-05-01 21:35:04
MAN,231.0,3465.00 KG,MAN,229.0,3435.00 KG,2024-05_MN_1030.0_1.0,2024-05-01 21:47:16
SNN,120.0,1800.00 KG,SNN,118.0,1770.00 KG,2024-05_MN_1110.0_1.0,2024-05-01 21:55:08
MAN,147.0,2205.00 KG,MAN,146.0,2190.00 KG,2024-05_MN_1044.0_1.0,2024-05-01 22:41:22
MAN,147.0,2205.00 KG,MAN,145.0,2175.00 KG,2024-05_MN_1044.0_1.0,2024-05-01 22:50:48
DUB,143.0,2145.00 KG,DUB,141.0,2115.00 KG,2024-05_MN_1088.0_1.0,2024-05-01 23:39:04
DUB,148.0,2220.00 KG,DUB,149.0,2235.00 KG,2024-05_MN_1086.0_2.0,2024-05-01 23:57:59
DUB,128.0,1920.00 KG,DUB,125.0,1875.00 KG,2024-05_MN_1114.0_2.0,2024-05-02 00:18:15
DUB,199.0,2985.00 KG,DUB,194.0,2910.00 KG,2024-05_MN_1060.0_2.0,2024-05-02 00:28:16
DUB,128.0,1920.00 KG,DUB,126.0,1890.00 KG,2024-05_MN_1114.0_2.0,2024-05-02 00:36:26
DUB,198.0,2970.00 KG,DUB,196.0,2940.00 KG,2024-05_MN_1106.0_2.0,2024-05-02 00:49:32
DUB,162.0,2430.00 KG,DUB,161.0,2415.00 KG,2024-05_MN_1136.0_2.0,2024-05-02 00:50:56
DUB,126.0,1890.00 KG,DUB,123.0,1845.00 KG,2024-05_MN_1114.0_2.0,2024-05-02 01:11:10
DUB,205.0,3075.00 KG,DUB,208.0,3120.00 KG,2024-05_MN_1052.0_2.0,2024-05-02 01:29:03
DUB,206.0,3090.00 KG,DUB,205.0,3075.00 KG,2024-05_MN_1068.0_2.0,2024-05-02 03:03:53
ATH,106.0,1378.00 KG,ATH,105.0,1365.00 KG,2024-05_MN_1440.0_2.0,2024-05-02 04:30:57
VIE,94.0,1222.00 KG,VIE,93.0,1209.00 KG,2024-05_MN_1660.0_2.0,2024-05-02 04:49:51
NAP,160.0,2080.00 KG,NAP,159.0,2067.00 KG,2024-05_MN_1450.0_2.0,2024-05-02 04:55:26
FCO,93.0,1209.00 KG,FCO,92.0,1196.00 KG,2024-05_MN_1402.0_2.0,2024-05-02 05:03:31
BCN,148.0,1924.00 KG,BCN,147.0,1911.00 KG,2024-05_MN_1562.0_2.0,2024-05-02 05:25:42
CDG,111.0,1443.00 KG,CDG,112.0,1456.00 KG,2024-05_MN_1520.0_2.0,2024-05-02 05:33:12
LIN,150.0,1950.00 KG,LIN,149.0,1937.00 KG,2024-05_MN_1432.0_2.0,2024-05-02 05:36:02
MUC,79.0,1027.00 KG,,,,2024-05_MN_1352.0_2.0,2024-05-02 05:36:56
FRA,84.0,1092.00 KG,FRA,81.0,1053.00 KG,2024-05_MN_1650.0_2.0,2024-05-02 05:45:26
TLS,169.0,2197.00 KG,TLS,166.0,2158.00 KG,2024-05_MN_1532.0_2.0,2024-05-02 05:48:45
BER,100.0,1300.00 KG,BER,98.0,1274.00 KG,2024-05_MN_1332.0_2.0,2024-05-02 05:57:15
AGP,252.0,3276.00 KG,AGP,253.0,3289.00 KG,2024-05_MN_1580.0_2.0,2024-05-02 06:08:15
FAO,301.0,3913.00 KG,FAO,291.0,3783.00 KG,2024-05_MN_1492.0_2.0,2024-05-02 06:13:52
FAO,301.0,3913.00 KG,FAO,292.0,3796.00 KG,2024-05_MN_1492.0_2.0,2024-05-02 06:16:28
PRG,112.0,1456.00 KG,PRG,111.0,1443.00 KG,2024-05_MN_1642.0_2.0,2024-05-02 06:19:31
DBV,115.0,1495.00 KG,DBV,114.0,1482.00 KG,2024-05_MN_1476.0_2.0,2024-05-02 06:19:42
VCE,130.0,1690.00 KG,VCE,117.0,1521.00 KG,2024-05_MN_1422.0_2.0,2024-05-02 06:20:47
LIS,127.0,1651.00 KG,LIS,126.0,1638.00 KG,2024-05_MN_1482.0_2.0,2024-05-02 06:27:57
VCE,129.0,1677.00 KG,VCE,116.0,1508.00 KG,2024-05_MN_1422.0_2.0,2024-05-02 06:32:52
BUD,113.0,1469.00 KG,BUD,114.0,1482.00 KG,2024-05_MN_1672.0_2.0,2024-05-02 06:39:28
NAP,160.0,2080.00 KG,NAP,159.0,2067.00 KG,2024-05_MN_1450.0_2.0,2024-05-02 07:31:25
AMS,88.0,1144.00 KG,AMS,77.0,1001.00 KG,2024-05_MN_1604.0_2.0,2024-05-02 08:49:19
AGP,146.0,1898.00 KG,AGP,148.0,1924.00 KG,2024-05_MN_1582.0_2.0,2024-05-02 08:48:01
HAM,80.0,1040.00 KG,,,,2024-05_MN_1392.0_2.0,2024-05-02 08:48:58
JFK,246.0,3690.00 KG,JFK,224.0,3360.00 KG,2024-05_MN_1105.0_2.0,2024-05-02 09:35:59
JFK,235.0,3525.00 KG,JFK,233.0,3495.00 KG,2024-05_MN_1105.0_2.0,2024-05-02 09:49:45
NCE,88.0,1144.00 KG,NCE,85.0,1105.00 KG,2024-05_MN_1544.0_2.0,2024-05-02 09:52:46
ORD,279.0,4185.00 KG,ORD,281.0,4215.00 KG,2024-05_MN_1123.0_2.0,2024-05-02 10:16:43
AGP,154.0,2002.00 KG,AGP,150.0,1950.00 KG,2024-05_MN_1584.0_2.0,2024-05-02 10:40:56
AGP,154.0,2002.00 KG,AGP,151.0,1963.00 KG,2024-05_MN_1584.0_2.0,2024-05-02 10:42:28
BOS,189.0,2835.00 KG,BOS,190.0,2850.00 KG,2024-05_MN_1133.0_2.0,2024-05-02 10:50:31
MRS,87.0,1131.00 KG,MRS,85.0,1105.00 KG,2024-05_MN_1514.0_2.0,2024-05-02 11:24:39
LHR,83.0,1079.00 KG,LHR,80.0,1040.00 KG,2024-05_MN_1160.0_2.0,2024-05-02 11:23:47
SFO,157.0,2355.00 KG,SFO,152.0,2280.00 KG,2024-05_MN_1061.0_2.0,2024-05-02 11:32:17
IAD,113.0,1695.00 KG,IAD,115.0,1725.00 KG,2024-05_MN_1117.0_2.0,2024-05-02 11:32:16
CDG,129.0,1677.00 KG,CDG,120.0,1560.00 KG,2024-05_MN_1526.0_2.0,2024-05-02 11:41:21
CDG,129.0,1677.00 KG,CDG,127.0,1651.00 KG,2024-05_MN_1526.0_2.0,2024-05-02 11:47:09
EWR,142.0,2130.00 KG,EWR,134.0,2010.00 KG,2024-05_MN_1101.0_2.0,2024-05-02 12:08:44
EWR,142.0,2130.00 KG,EWR,137.0,2055.00 KG,2024-05_MN_1101.0_2.0,2024-05-02 12:11:05
EWR,142.0,2130.00 KG,EWR,138.0,2070.00 KG,2024-05_MN_1101.0_2.0,2024-05-02 12:13:08
BDL,80.0,1200.00 KG,BDL,82.0,1230.00 KG,2024-05_MN_1131.0_2.0,2024-05-02 12:54:52
MAN,83.0,1079.00 KG,MAN,95.0,1235.00 KG,2024-05_MN_1208.0_2.0,2024-05-02 12:58:55
MAN,83.0,1079.00 KG,MAN,82.0,1066.00 KG,2024-05_MN_1208.0_2.0,2024-05-02 12:59:40
ACE,166.0,2158.00 KG,ACE,157.0,2041.00 KG,2024-05_MN_1778.0_2.0,2024-05-02 13:08:04
LHR,84.0,1092.00 KG,,,,2024-05_MN_1168.0_2.0,2024-05-02 13:14:53
VRN,138.0,1794.00 KG,VRN,139.0,1807.00 KG,2024-05_MN_1412.0_2.0,2024-05-02 13:58:53
LAX,160.0,2400.00 KG,LAX,150.0,2250.00 KG,2024-05_MN_1069.0_2.0,2024-05-02 14:08:14
LPA,131.0,1703.00 KG,LPA,130.0,1690.00 KG,2024-05_MN_1782.0_2.0,2024-05-02 14:12:39
LHR,84.0,1092.00 KG,LHR,83.0,1079.00 KG,2024-05_MN_1174.0_2.0,2024-05-02 14:35:16
ADB,150.0,1950.00 KG,ADB,145.0,1885.00 KG,2024-05_MN_1798.0_2.0,2024-05-02 14:40:58
FCO,150.0,1950.00 KG,FCO,141.0,1833.00 KG,2024-05_MN_1406.0_2.0,2024-05-02 14:49:56
FCO,150.0,1950.00 KG,FCO,142.0,1846.00 KG,2024-05_MN_1406.0_2.0,2024-05-02 15:00:19
FCO,150.0,1950.00 KG,FCO,143.0,1859.00 KG,2024-05_MN_1406.0_2.0,2024-05-02 15:02:03
PHL,92.0,1380.00 KG,PHL,93.0,1395.00 KG,2024-05_MN_1115.0_2.0,2024-05-02 15:08:30
PMI,163.0,2119.00 KG,PMI,159.0,2067.00 KG,2024-05_MN_1736.0_2.0,2024-05-02 15:10:54
JFK,174.0,2610.00 KG,JFK,177.0,2655.00 KG,2024-05_MN_1107.0_2.0,2024-05-02 15:17:53
AGP,130.0,1690.00 KG,AGP,124.0,1612.00 KG,2024-05_MN_1586.0_2.0,2024-05-02 15:34:49
AGP,130.0,1690.00 KG,AGP,125.0,1625.00 KG,2024-05_MN_1586.0_2.0,2024-05-02 15:35:58
IAD,120.0,1800.00 KG,IAD,113.0,1695.00 KG,2024-05_MN_1119.0_2.0,2024-05-02 15:53:30
AMS,99.0,1287.00 KG,AMS,90.0,1170.00 KG,2024-05_MN_1610.0_2.0,2024-05-02 16:33:48
AMS,99.0,1287.00 KG,AMS,93.0,1209.00 KG,2024-05_MN_1610.0_2.0,2024-05-02 16:46:35
ADB,150.0,1950.00 KG,ADB,145.0,1885.00 KG,2024-05_MN_1798.0_2.0,2024-05-02 17:07:58
SPU,151.0,1963.00 KG,SPU,152.0,1976.00 KG,2024-05_MN_1470.0_2.0,2024-05-02 17:40:56
BRU,111.0,1443.00 KG,BRU,110.0,1430.00 KG,2024-05_MN_1638.0_2.0,2024-05-02 17:58:18
ALC,128.0,1664.00 KG,ALC,125.0,1625.00 KG,2024-05_MN_1574.0_2.0,2024-05-02 18:16:39
ALC,128.0,1664.00 KG,ALC,123.0,1599.00 KG,2024-05_MN_1574.0_2.0,2024-05-02 18:16:19
LHR,77.0,1001.00 KG,,,,2024-05_MN_1184.0_2.0,2024-05-02 19:11:29
DUB,151.0,2265.00 KG,DUB,156.0,2340.00 KG,2024-05_MN_1122.0_2.0,2024-05-02 20:33:47
DUB,108.0,1620.00 KG,DUB,118.0,1770.00 KG,2024-05_MN_1100.0_2.0,2024-05-02 20:56:32
DUB,179.0,2685.00 KG,DUB,183.0,2745.00 KG,2024-05_MN_1126.0_2.0,2024-05-02 20:55:43
DUB,157.0,2355.00 KG,DUB,156.0,2340.00 KG,2024-05_MN_1116.0_2.0,2024-05-02 20:56:07
DUB,206.0,3090.00 KG,DUB,207.0,3105.00 KG,2024-05_MN_1132.0_2.0,2024-05-02 21:10:46
MAN,161.0,2415.00 KG,MAN,168.0,2520.00 KG,2024-05_MN_1034.0_2.0,2024-05-02 21:15:59
DUB,131.0,1965.00 KG,DUB,132.0,1980.00 KG,2024-05_MN_1130.0_2.0,2024-05-02 21:24:55
SNN,113.0,1695.00 KG,SNN,111.0,1665.00 KG,2024-05_MN_1110.0_2.0,2024-05-02 21:53:30
SNN,167.0,2505.00 KG,SNN,158.0,2370.00 KG,2024-05_MN_1134.0_2.0,2024-05-02 22:12:42
MAN,135.0,2025.00 KG,MAN,134.0,2010.00 KG,2024-05_MN_1044.0_2.0,2024-05-02 22:37:25
DUB,298.0,4470.00 KG,DUB,306.0,4590.00 KG,2024-05_MN_1120.0_3.0,2024-05-02 23:46:02
DUB,103.0,1545.00 KG,DUB,102.0,1530.00 KG,2024-05_MN_1114.0_3.0,2024-05-03 00:23:01
DUB,208.0,3120.00 KG,DUB,209.0,3135.00 KG,2024-05_MN_1136.0_3.0,2024-05-03 00:55:19
DUB,171.0,2565.00 KG,DUB,157.0,2355.00 KG,2024-05_MN_1060.0_3.0,2024-05-03 01:05:14
DUB,141.0,2115.00 KG,DUB,140.0,2100.00 KG,2024-05_MN_1124.0_3.0,2024-05-03 01:42:34
DUB,153.0,2295.00 KG,DUB,158.0,2370.00 KG,2024-05_MN_1068.0_3.0,2024-05-03 02:55:51
FCO,136.0,1768.00 KG,FCO,125.0,1625.00 KG,2024-05_MN_1402.0_3.0,2024-05-03 04:34:11
ATH,117.0,1521.00 KG,ATH,116.0,1508.00 KG,2024-05_MN_1440.0_3.0,2024-05-03 04:37:16
PSA,125.0,1625.00 KG,PSA,119.0,1547.00 KG,2024-05_MN_1428.0_3.0,2024-05-03 04:43:40
PSA,125.0,1625.00 KG,PSA,119.0,1547.00 KG,2024-05_MN_1428.0_3.0,2024-05-03 04:43:34
LYS,78.0,1014.00 KG,LYS,77.0,1001.00 KG,2024-05_MN_1550.0_3.0,2024-05-03 04:51:38
NAP,79.0,1027.00 KG,,,,2024-05_MN_1450.0_3.0,2024-05-03 04:53:59
FCO,136.0,1768.00 KG,FCO,130.0,1690.00 KG,2024-05_MN_1402.0_3.0,2024-05-03 04:54:47
NAP,92.0,1196.00 KG,,,,2024-05_MN_1450.0_3.0,2024-05-03 04:58:58
BHX,114.0,1482.00 KG,BHX,111.0,1443.00 KG,2024-05_MN_1262.0_3.0,2024-05-03 04:59:41
AMS,92.0,1196.00 KG,AMS,96.0,1248.00 KG,2024-05_MN_1602.0_3.0,2024-05-03 05:04:24
MAD,131.0,1703.00 KG,MAD,133.0,1729.00 KG,2024-05_MN_1592.0_3.0,2024-05-03 05:08:13
MAN,87.0,1131.00 KG,MAN,91.0,1183.00 KG,2024-05_MN_1202.0_3.0,2024-05-03 05:15:27
BER,78.0,1014.00 KG,,,,2024-05_MN_1332.0_3.0,2024-05-03 05:17:06
CDG,141.0,1833.00 KG,CDG,139.0,1807.00 KG,2024-05_MN_1520.0_3.0,2024-05-03 05:21:09
MUC,114.0,1482.00 KG,MUC,111.0,1443.00 KG,2024-05_MN_1352.0_3.0,2024-05-03 05:36:31
LHR,108.0,1404.00 KG,LHR,111.0,1443.00 KG,2024-05_MN_1152.0_3.0,2024-05-03 05:23:52
CDG,141.0,1833.00 KG,CDG,140.0,1820.00 KG,2024-05_MN_1520.0_3.0,2024-05-03 05:28:02
LHR,108.0,1404.00 KG,LHR,113.0,1469.00 KG,2024-05_MN_1152.0_3.0,2024-05-03 05:29:46
BCN,149.0,1937.00 KG,BCN,148.0,1924.00 KG,2024-05_MN_1562.0_3.0,2024-05-03 05:31:16
DUS,95.0,1235.00 KG,DUS,93.0,1209.00 KG,2024-05_MN_1692.0_3.0,2024-05-03 05:36:37
FRA,126.0,1638.00 KG,FRA,124.0,1612.00 KG,2024-05_MN_1650.0_3.0,2024-05-03 05:42:28
ACE,151.0,1963.00 KG,ACE,149.0,1937.00 KG,2024-05_MN_1776.0_3.0,2024-05-03 05:50:57
AGP,303.0,3939.00 KG,AGP,296.0,3848.00 KG,2024-05_MN_1580.0_3.0,2024-05-03 05:52:55
NAP,130.0,1690.00 KG,NAP,126.0,1638.00 KG,2024-05_MN_1450.0_3.0,2024-05-03 05:58:58
PRG,88.0,1144.00 KG,PRG,86.0,1118.00 KG,2024-05_MN_1642.0_3.0,2024-05-03 06:04:58
VIE,95.0,1235.00 KG,VIE,96.0,1248.00 KG,2024-05_MN_1660.0_3.0,2024-05-03 06:05:34
