cargo_estimate,mail_estimate,timestamp_estimate,combined,cargo_total,mail_total,departure_airport,timestamp_total
2458.0,16.0,2024-05-07 01:13:15,2024-05_AB_2781.0_7.0,2458.0,0.0,BOM,2024-05-07 02:35:19
1500.0,74.0,2024-05-07 01:11:00,2024-05_AB_2462.0_7.0,217.0,0.0,BLR,2024-05-07 04:06:57
2900.0,26.0,2024-05-07 01:07:36,2024-05_AB_2541.0_7.0,2871.0,0.0,CCU,2024-05-07 03:27:38
1500.0,3.0,2024-05-07 01:04:01,2024-05_AB_2850.0_7.0,1579.0,0.0,BLR,2024-05-07 03:20:59
2500.0,48.0,2024-05-07 00:57:43,2024-05_AB_2524.0_7.0,1772.0,0.0,BOM,2024-05-07 03:02:32
2000.0,32.0,2024-05-07 00:53:57,2024-05_AB_2719.0_7.0,1348.0,0.0,DEL,2024-05-07 02:47:59
574.0,0.0,2024-05-07 00:41:01,2024-05_AB_2533.0_7.0,1040.0,0.0,AMD,2024-05-07 04:28:22
2504.0,0.0,2024-05-07 00:40:43,2024-05_AB_2102.0_7.0,665.0,0.0,AMD,2024-05-07 04:21:51
505.0,0.0,2024-05-06 23:31:41,2024-05_AB_2638.0_7.0,0.0,0.0,SXR,2024-05-07 03:02:05
1002.0,0.0,2024-05-06 23:31:15,2024-05_AB_2492.0_7.0,0.0,0.0,VNS,2024-05-07 03:36:32
3048.0,0.0,2024-05-06 23:30:58,2024-05_AB_2172.0_7.0,2800.0,0.0,BOM,2024-05-07 04:31:28
2495.0,0.0,2024-05-06 23:30:41,2024-05_AB_2518.0_7.0,2369.0,0.0,BOM,2024-05-07 03:18:56
3073.0,0.0,2024-05-06 23:30:22,2024-05_AB_2410.0_7.0,3210.0,0.0,BOM,2024-05-07 02:07:48
559.0,0.0,2024-05-06 23:29:27,2024-05_AB_2612.0_7.0,0.0,0.0,BLR,2024-05-07 03:12:36
1038.0,0.0,2024-05-06 23:29:09,2024-05_AB_2375.0_7.0,1876.0,0.0,BLR,2024-05-07 01:47:44
552.0,0.0,2024-05-06 23:28:48,2024-05_AB_2421.0_7.0,175.0,0.0,BLR,2024-05-07 00:55:14
1014.0,55.0,2024-05-06 22:44:36,2024-05_AB_2485.0_7.0,123.0,0.0,MAA,2024-05-07 01:58:29
3000.0,17.0,2024-05-06 20:48:20,2024-05_AB_2405.0_7.0,2237.0,0.0,HYD,2024-05-07 02:08:02
944.0,33.0,2024-05-06 20:47:15,2024-05_AB_2355.0_7.0,0.0,0.0,DEL,2024-05-07 01:43:55
2000.0,44.0,2024-05-06 20:05:44,2024-05_AB_2312.0_7.0,2286.0,0.0,PNQ,2024-05-07 01:40:43
1995.0,0.0,2024-05-06 19:41:15,2024-05_AB_2109.0_7.0,1158.0,0.0,BLR,2024-05-07 00:54:38
2989.0,0.0,2024-05-06 19:40:19,2024-05_AB_2736.0_7.0,2318.0,0.0,BLR,2024-05-07 00:24:53
2491.0,0.0,2024-05-06 19:38:44,2024-05_AB_2561.0_7.0,1831.0,0.0,BLR,2024-05-07 00:34:25
0.0,45.0,2024-05-06 19:36:49,2024-05_AB_2624.0_7.0,0.0,0.0,GOX,2024-05-07 00:02:36
3800.0,42.0,2024-05-06 19:35:47,2024-05_AB_2145.0_7.0,3729.0,0.0,AMD,2024-05-07 00:07:07
2500.0,29.0,2024-05-06 19:34:33,2024-05_AB_2325.0_7.0,1534.0,0.0,BLR,2024-05-07 01:18:24
1000.0,30.0,2024-05-06 19:31:50,2024-05_AB_2637.0_7.0,108.0,0.0,BOM,2024-05-06 23:18:43
800.0,44.0,2024-05-06 19:30:20,2024-05_AB_2505.0_7.0,367.0,0.0,AMD,2024-05-06 23:41:22
3000.0,38.0,2024-05-06 19:29:27,2024-05_AB_2340.0_7.0,2194.0,0.0,BLR,2024-05-06 23:36:40
