cargo_weight,mail_weight,timestamp,combined
65.0,0.0,2024-05-03 18:42:29,2024-05_MN_1110.0_3.0
75.0,0.0,2024-05-03 18:42:12,2024-05_MN_1030.0_3.0
65.0,0.0,2024-05-03 18:29:10,2024-05_MN_1130.0_3.0
706.0,0.0,2024-05-03 18:28:48,2024-05_MN_1132.0_3.0
100.0,0.0,2024-05-03 17:05:19,2024-05_MN_1044.0_3.0
7500.0,0.0,2024-05-03 17:04:38,2024-05_MN_1104.0_3.0
607.0,0.0,2024-05-03 17:02:13,2024-05_MN_1126.0_3.0
65.0,0.0,2024-05-03 16:55:07,2024-05_MN_1100.0_3.0
65.0,0.0,2024-05-03 16:54:49,2024-05_MN_1116.0_3.0
7500.0,0.0,2024-05-03 16:54:13,2024-05_MN_1122.0_3.0
