combined,timestamp,blockfuel_main1,blockfuel_trim,takeofffuel_main1,takeofffuel_trim,trip_fuel,max_fuel_cap,minimum_tof,taxi_fuel,takeoff_fuel
2024-05_AB_2498.0_30.0,2024-04-30 06:08:08,,,,,4167.0,21961.0,7895.0,330.0,7895.0
2024-05_AB_2498.0_30.0,2024-04-30 06:08:39,,,,,4167.0,21961.0,7895.0,330.0,7895.0
2024-05_AB_2497.0_30.0,2024-04-30 06:17:10,,,,,4738.0,21961.0,10743.0,231.0,10743.0
2024-05_AB_2173.0_30.0,2024-04-30 06:25:42,,,,,5783.0,21961.0,9890.0,198.0,9890.0
2024-05_AB_2851.0_30.0,2024-04-30 06:30:00,,,,,6006.0,21961.0,9533.0,220.0,9780.0
2024-05_AB_2851.0_30.0,2024-04-30 06:30:00,,,,,,,,,
2024-05_AB_2503.0_30.0,2024-04-30 06:33:13,,,,,6129.0,21961.0,12172.0,352.0,12172.0
2024-05_AB_2451.0_30.0,2024-04-30 06:44:44,,,,,3968.0,21961.0,7207.0,352.0,7207.0
2024-05_AB_2525.0_30.0,2024-04-30 06:47:16,,,,,4331.0,21961.0,8317.0,242.0,8317.0
2024-05_AB_2608.0_30.0,2024-04-30 06:51:16,,,,,2565.0,20724.0,10623.0,176.0,8824.0
2024-05_AB_2608.0_30.0,2024-04-30 06:51:16,,,,,,,,,
2024-05_AB_2394.0_30.0,2024-04-30 07:03:50,,,,,1764.0,21961.0,5446.0,330.0,5670.0
2024-05_AB_2394.0_30.0,2024-04-30 07:03:50,,,,,,,,,
2024-05_AB_2383.0_30.0,2024-04-30 07:04:14,,,,,4206.0,21961.0,7722.0,231.0,7969.0
2024-05_AB_2383.0_30.0,2024-04-30 07:04:14,,,,,,,,,
2024-05_AB_2608.0_30.0,2024-04-30 07:04:17,,,,,4316.0,20724.0,7708.0,253.0,7708.0
2024-05_AB_2323.0_30.0,2024-04-30 07:05:10,,,,,1536.0,21961.0,4999.0,220.0,5580.0
2024-05_AB_2323.0_30.0,2024-04-30 07:05:10,,,,,,,,,
2024-05_AB_2431.0_30.0,2024-04-30 07:13:48,,,,,2072.0,21961.0,10425.0,209.0,10425.0
2024-05_AB_2431.0_30.0,2024-04-30 07:14:20,,,,,2072.0,21961.0,10425.0,209.0,10425.0
2024-05_AB_2534.0_30.0,2024-04-30 07:14:51,,,,,3272.0,21961.0,7208.0,198.0,7302.0
2024-05_AB_2534.0_30.0,2024-04-30 07:14:51,,,,,,,,,
2024-05_AB_2498.0_30.0,2024-04-30 07:14:53,,,,,4167.0,21961.0,7895.0,330.0,8300.0
2024-05_AB_2498.0_30.0,2024-04-30 07:14:53,,,,,,,,,
2024-05_AB_2510.0_30.0,2024-04-30 07:15:50,,,,,2515.0,20724.0,6221.0,220.0,6221.0
