combined,timestamp,blockfuel_main1,blockfuel_trim,takeofffuel_main1,takeofffuel_trim,trip_fuel,max_fuel_cap,minimum_tof,taxi_fuel,takeoff_fuel
2024-05_ZY_2015.0_3.0,2024-05-03 09:26:04,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2015.0_3.0,2024-05-03 09:26:04,,,,,,,,,
2024-05_ZY_2016.0_3.0,2024-05-03 09:26:35,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2016.0_3.0,2024-05-03 09:26:35,,,,,,,,,
2024-05_ZY_2017.0_3.0,2024-05-03 09:27:10,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2017.0_3.0,2024-05-03 09:27:10,,,,,,,,,
2024-05_ZY_2018.0_3.0,2024-05-03 09:27:41,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2018.0_3.0,2024-05-03 09:27:41,,,,,,,,,
2024-05_ZY_2019.0_3.0,2024-05-03 09:28:13,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2019.0_3.0,2024-05-03 09:28:13,,,,,,,,,
2024-05_ZY_2020.0_3.0,2024-05-03 09:28:51,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2020.0_3.0,2024-05-03 09:28:51,,,,,,,,,
2024-05_ZY_2021.0_3.0,2024-05-03 09:29:22,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2021.0_3.0,2024-05-03 09:29:22,,,,,,,,,
2024-05_ZY_2022.0_3.0,2024-05-03 09:29:53,,,,,,,,,
2024-05_ZY_2025.0_3.0,2024-05-03 09:31:42,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2025.0_3.0,2024-05-03 09:31:42,,,,,,,,,
2024-05_ZY_2024.0_3.0,2024-05-03 09:31:04,,,,,800.0,5000.0,,70.0,2000.0
2024-05_ZY_2024.0_3.0,2024-05-03 09:31:04,,,,,,,,,
2024-05_ZY_2111.0_3.0,2024-05-03 16:59:06,,,,,7292.0,13100.0,,45.0,9562.0
2024-05_ZY_2111.0_3.0,2024-05-03 16:59:06,,,,,,,,,
2024-05_ZY_2121.0_5.0,2024-05-05 12:37:09,,,,,4646.0,13100.0,,135.0,9015.0
2024-05_ZY_2121.0_5.0,2024-05-05 12:37:09,,,,,,,,,
2024-05_ZY_2121.0_5.0,2024-05-05 12:37:14,,,,,4646.0,13100.0,,135.0,9015.0
2024-05_ZY_2121.0_5.0,2024-05-05 12:37:14,,,,,,,,,
2024-05_ZY_2121.0_5.0,2024-05-05 12:37:03,,,,,4646.0,13100.0,,135.0,9015.0
2024-05_ZY_2121.0_5.0,2024-05-05 12:37:03,,,,,,,,,
2024-05_ZY_1222.0_6.0,2024-05-06 14:08:57,,,,,1200.0,5000.0,,70.0,3000.0
2024-05_ZY_1222.0_6.0,2024-05-06 14:08:57,,,,,,,,,
2024-05_ZY_1222.0_6.0,2024-05-06 14:04:48,,,,,980.0,5000.0,,70.0,2800.0
2024-05_ZY_1222.0_6.0,2024-05-06 14:04:48,,,,,,,,,
2024-05_ZY_1222.0_6.0,2024-05-06 14:05:44,,,,,1200.0,5000.0,,70.0,3000.0
2024-05_ZY_1222.0_6.0,2024-05-06 14:05:44,,,,,,,,,
2024-05_ZY_1222.0_6.0,2024-05-06 14:05:57,,,,,1200.0,5000.0,,70.0,3000.0
2024-05_ZY_1222.0_6.0,2024-05-06 14:04:40,,,,,980.0,5000.0,,70.0,2800.0
2024-05_ZY_1222.0_6.0,2024-05-06 14:04:40,,,,,,,,,
2024-05_ZY_1222.0_6.0,2024-05-06 14:04:57,,,,,980.0,5000.0,,70.0,2800.0
2024-05_ZY_1222.0_6.0,2024-05-06 14:04:57,,,,,,,,,
2024-05_ZY_1222.0_6.0,2024-05-06 14:05:57,,,,,,,,,
2024-05_ZY_1222.0_6.0,2024-05-06 14:06:04,,,,,1200.0,5000.0,,70.0,3000.0
2024-05_ZY_1222.0_6.0,2024-05-06 14:06:04,,,,,,,,,
2024-05_ZY_1222.0_6.0,2024-05-06 14:06:09,,,,,1200.0,5000.0,,70.0,3000.0
2024-05_ZY_1222.0_6.0,2024-05-06 14:06:09,,,,,,,,,
2024-05_ZY_1222.0_6.0,2024-05-06 14:08:43,,,,,1200.0,5000.0,,70.0,4000.0
2024-05_ZY_1222.0_6.0,2024-05-06 14:08:43,,,,,,,,,
2024-05_ZY_1222.0_6.0,2024-05-06 14:08:51,,,,,1200.0,5000.0,,70.0,3800.0
2024-05_ZY_1222.0_6.0,2024-05-06 14:08:51,,,,,,,,,
2024-05_ZY_1222.0_6.0,2024-05-06 14:09:06,,,,,900.0,5000.0,,70.0,3000.0
2024-05_ZY_1222.0_6.0,2024-05-06 14:09:06,,,,,,,,,
2024-05_ZY_270.0_5.0,2024-05-06 17:06:06,,,,,1959.0,13100.0,4272.0,108.0,4272.0
2024-05_ZY_9902.0_6.0,2024-05-06 17:50:18,,,,,14811.0,109186.0,,300.0,24540.0
2024-05_ZY_9902.0_6.0,2024-05-06 17:50:18,,,,,,,,,
2024-05_ZY_5258.0_6.0,2024-05-06 17:39:56,,,,,2000.0,13100.0,,120.0,5000.0
2024-05_ZY_5258.0_6.0,2024-05-06 17:39:56,,,,,,,,,
2024-05_ZY_9900.0_6.0,2024-05-06 17:46:20,,,,,58259.0,109186.0,,300.0,67487.0
2024-05_ZY_9900.0_6.0,2024-05-06 17:46:20,,,,,,,,,
2024-05_ZY_7058.0_6.0,2024-05-06 20:13:37,,,,,1514.0,13100.0,4189.0,81.0,4189.0
2024-05_ZY_9752.0_7.0,2024-05-06 20:14:40,,,,,56236.0,109186.0,65235.0,325.0,65235.0
2024-05_ZY_3626.0_6.0,2024-05-06 21:56:49,,,,,2500.0,18623.0,,200.0,6000.0
2024-05_ZY_3626.0_6.0,2024-05-06 21:56:49,,,,,,,,,
