user_name,InternalCreateLoadingInstructionAct,CreatePostDepartureMessagesAction,UpdateSupplementaryInfoAction,UpdateHistoricalFlightLegInfoAction,UpdateEstimatesAction,TransferCheckinDataAction,StorePaxDataGuiAction,StoreCKIAverageWeightAction,StoreAircraftDataAction,SpecialPaxWeightAction,SendPostDepartureMessagesAction,ReopenLegAction,RampFinalAction,InternalCreateLoadsheetAction,AcceptTransitDataAction,GetCabinConfigurationsAction,UpdateTransitLoadTableAction,CargoFinalAction,AssignUnassignViewAction,AcceptTransitLoadAction,AcceptTransitNotocAction,CreateLoadsheetAction,CreateLoadingInstructionAction,AssignLoadplanAction,CloseLegAction,UpdateLoadTableAction,UpdateFuelDataAction,CreateZFWMessageAction,CalculateWeightAndTrimAction,EstimateStorePaxDataAction,UpdateCrewDataAction,StorePaxDataAction,CreateBaggageLoadItemsAction,FuelDataInitializer,ResetLoadingListRecordsAction,StoreRegistrationAndConfigurationAc,TransferCargoAction,AssignLCCAction,UpdateFlightAction,CheckinMsgProcessor,PAXBOOKINGINMsgProcessor,ClearFlightsAction,CrewMsgProcessor,ChangeFlightLegStateAction,FlightPlanFiguresInMsgProcessor,SetActualBagWeightIndicatorAction,ASMMsgProcessor
human,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.24836545809629,67.26207089031537,38.44155844155844,21.09832320358636,12.428486881041625,6.8869371253311025,5.4768643410595805,5.399568034557236,4.838709677419355,1.353637901861252,1.3190642110502737,0.862895493767977,0.7157802004184561,0.25348542458808615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service-acco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.751634541903712,32.73792910968462,61.55844155844156,78.90167679641364,87.57151311895838,93.1130628746689,94.52313565894042,94.60043196544277,95.16129032258065,98.64636209813875,98.68093578894972,99.13710450623202,99.28421979958154,99.74651457541192,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
