user_name,UpdateSupplementaryInfoAction,ChatSendMessageAction,RampFinalAction,ReopenLegAction,SendLoadingInstructionAction,SendLoadsheetAction,SpecialPaxWeightAction,CreateLoadingInstructionAction,StoreAircraftDataAction,StorePaxDataGuiAction,UpdateCargoMailEstimatesAction,UpdateEstimatesAction,ChatConfirmMessageAction,CargoFinalAction,GetCabinConfigurationsAction,AssignUnassignViewAction,UpdateLoadTableAction,AssignLoadplanAction,CreateLoadsheetAction,UpdateLastEzfwSentAction,AutoLoadULDAction,UpdateFuelDataAction,AutoLoadBulkAction,CreateZFWMessageAction,TransferCargoAction,CalculateWeightAndTrimAction,InternalCreateLoadsheetAction,UpdateHistoricalFlightLegInfoAction,InternalCreateLoadingInstructionAct,CloseLegAction,UpdateCrewDataAction,CreatePostDepartureMessagesAction,SendPostDepartureMessagesAction,ResetLoadingListRecordsAction,StoreRegistrationAndConfigurationAc,AssignLCCAction,UpdateFlightAction,StorePaxDataAction,CreateBaggageLoadItemsAction,EstimateStorePaxDataAction,TransferCheckinDataAction,CheckinMsgProcessor,ChangeFlightLegStateAction,ClearFlightsAction,CargoFinalActionTDM,AutomaticNotificationAction,CreateAndSendUldOrdMessageAction,CreateAndSendFuelOrderAction,TdmCreateLoadingInstructionAction,PAXBOOKINGINMsgProcessor,CrewMsgProcessor,SendFuelOrderAction,SelectFuelOrderAction,FlightPlanFiguresInMsgProcessor,FuelDataInitializer,ASMMsgProcessor
human,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51067615658363,97.02847476740908,94.68729535036017,75.18248175182481,70.73170731707317,57.692307692307686,56.965944272445824,43.212890625,24.513590585857127,19.631410256410255,17.651010233534507,4.216867469879518,4.216867469879518,4.216867469879518,4.216867469879518,2.559867877786953,2.466666666666667,1.910480349344978,1.282051282051282,1.0550113036925395,0.728460185882944,0.5098789037603569,0.448519524587353,0.4439511653718091,0.17267429311461255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service-acco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4893238434163701,2.9715252325909223,5.312704649639817,24.817518248175183,29.268292682926827,42.30769230769231,43.034055727554176,56.787109375,75.48640941414287,80.36858974358975,82.3489897664655,95.78313253012048,95.78313253012048,95.78313253012048,95.78313253012048,97.44013212221306,97.53333333333333,98.08951965065502,98.71794871794873,98.94498869630746,99.27153981411706,99.49012109623965,99.55148047541265,99.55604883462819,99.82732570688539,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
